TEAMname,color,Mascot,TEAM,Logo
Air Force,#0061AA,Falcons,Air Force Falcons,AFA.png
Akron,#000E41,Zips,Akron Zips,AKR.png
Alabama,#A80532,Crimson Tide,Alabama Crimson Tide,ALA.png
Alabama A&M;,#750000,Bulldogs,Alabama A&M; Bulldogs,AAMU.png
Alabama State,#FECB09,Hornets,Alabama State Hornets,ALST.png
Albany,#3D2777,Great Danes,Albany Great Danes,ALBY.png
Alcorn State,#42094A,Braves,Alcorn State Braves,ALCN.png
American University,#C41130,Eagles,American University Eagles,AMER.png
Appalachian State,#000000,Mountaineers,Appalachian State Mountaineers,APP.png
Arizona,#003559,Wildcats,Arizona Wildcats,ARIZ.png
Arizona State,#96203D,Sun Devils,Arizona State Sun Devils,ASU.png
Arkansas,#CD1041,Razorbacks,Arkansas Razorbacks,ARK.png
Arkansas Pine-Bluff,#000000,Golden Lions,Arkansas Pine-Bluff Golden Lions,ARPB.png
Arkansas State,#ED1B2E,Red Wolves,Arkansas State Red Wolves,ARST.png
Arkansas-Little Rock,#AD0000,Trojans,Arkansas-Little Rock Trojans,UALR.png
Army,#D19D00,Black Knights,Army Black Knights,ARMY.png
Auburn,#172240,Tigers,Auburn Tigers,AUB.png
Austin Peay,#8E0B0B,Governors,Austin Peay Governors,PEAY.png
Ball State,#DA0000,Cardinals,Ball State Cardinals,BALL.png
Baylor,#008649,Bears,Baylor Bears,BAY.png
Belmont,#2A3F76,Bruins,Belmont Bruins,BEL.png
Bethune-Cookman,#841B35,Wildcats,Bethune-Cookman Wildcats,COOK.png
Binghamton,#006F53,Bearcats,Binghamton Bearcats,BING.png
Boise State,#2D4492,Broncos,Boise State Broncos,BSU.png
Boston College,#821E1E,Eagles,Boston College Eagles,BC.png
Boston University,#DD072E,Terriers,Boston University Terriers,BU.png
Bowling Green,#4E2400,Falcons,Bowling Green Falcons,BGSU.png
Bradley,#FF151A,Braves,Bradley Braves,BING.png
Brigham Young,#002D62,Cougars,Brigham Young Cougars,BYU.png
Brown,#543019,Bears,Brown Bears,BRWN.png
Bryant University,#702D07,Bulldogs,Bryant University Bulldogs,BRWN.png
Bucknell,#000064,Bison,Bucknell Bison,BU.png
Buffalo,#0068B4,Bulls,Buffalo Bulls,BUFF.png
Butler,#0D1361,Bulldogs,Butler Bulldogs,BUT.png
Cal Poly,#123C31,Mustangs,Cal Poly Mustangs,CP.png
Cal State Bakersfield,#005DAB,Roadrunners,Cal State Bakersfield Roadrunners,CSB.png
Cal State Fullerton,#003768,Titans,Cal State Fullerton Titans,SF.png
Cal State Northridge,#CD1041,Matadors,Cal State Northridge Matadors,CSN.png
California,#003768,Golden Bears,California Golden Bears,CAL.png
Campbell,#000000,Fighting Camels,Campbell Fighting Camels,CAMP.png
Canisius,#002859,Golden Griffins,Canisius Golden Griffins,CAN.png
Centenary,#A20B36,Gentlemen,Centenary Gentlemen,CENT.png
Central Arkansas,#4F2683,Bears,Central Arkansas Bears,CARK.png
Central Connecticut State,#1B49A2,Blue Devils,Central Connecticut State Blue Devils,CCSU.png
Central Michigan,#780006,Chippewas,Central Michigan Chippewas,CMU.png
Charleston,#B5A172,Cougars,Charleston Cougars,COFC.png
Charleston Southern,#00447C,Buccaneers,Charleston Southern Buccaneers,CHSO.png
Charlotte,#006331,49ers,Charlotte 49ers,CHAR.png
Chattanooga,#EEB311,Mocs,Chattanooga Mocs,CHAT.png
Chicago State,#006700,Cougars,Chicago State Cougars,CHS.png
Cincinnati,#000000,Bearcats,Cincinnati Bearcats,CIN.png
Citadel,#002B5C,Bulldogs,Citadel Bulldogs,CIT.png
Clemson,#F06014,Tigers,Clemson Tigers,CLEM.png
Cleveland State,#00573D,Vikings,Cleveland State Vikings,CLEV.png
Coastal Carolina,#009297,Chanticleers,Coastal Carolina Chanticleers,CCAR.png
Colgate,#8B011D,Raiders,Colgate Raiders,COLG.png
Colorado,#D9C994,Buffaloes,Colorado Buffaloes,COLO.png
Colorado State,#008C75,Rams,Colorado State Rams,CSU.png
Columbia,#7CC2F1,Lions,Columbia Lions,CLMB.png
Connecticut,#0A1D5A,Huskies,Connecticut Huskies,CONN.png
Coppin State,#2E3192,Eagles,Coppin State Eagles,COPP.png
Cornell,#D60027,Big Red,Cornell Big Red,COR.png
Creighton,#192DAA,Bluejays,Creighton Bluejays,CREI.png
Dartmouth,#005730,Big Green,Dartmouth Big Green,DART.png
Davidson,#000000,Wildcats,Davidson Wildcats,DAV.png
Dayton,#151A66,Flyers,Dayton Flyers,DAY.png
Delaware,#01539B,Fightin Blue Hens,Delaware Fightin Blue Hens,DEL.png
Delaware State,#F11A2D,Hornets,Delaware State Hornets,DSU.png
Denver,#98002E,Pioneers,Denver Pioneers,DEN.png
DePaul,#336698,Blue Demons,DePaul Blue Demons,DEP.png
Detroit,#1C64A4,Titans,Detroit Titans,DET.png
Drake,#0053A0,Bulldogs,Drake Bulldogs,DRKE.png
Drexel,#010160,Dragons,Drexel Dragons,DREX.png
Duke,#004C7D,Blue Devils,Duke Blue Devils,DUKE.png
Duquesne,#002D62,Dukes,Duquesne Dukes,DUQ.png
East Carolina,#4A1F68,Pirates,East Carolina Pirates,ECU.png
East Tennessee State,#025BA3,Buccaneers,East Tennessee State Buccaneers,ETSU.png
Eastern Illinois,#000000,Panthers,Eastern Illinois Panthers,EIU.png
Eastern Kentucky,#730B27,Colonels,Eastern Kentucky Colonels,EKY.png
Eastern Michigan,#0B5F24,Eagles,Eastern Michigan Eagles,EMU.png
Eastern Washington,#D72E34,Eagles,Eastern Washington Eagles,EWU.png
Elon,#040404,Phoenix,Elon Phoenix,ELON.png
Evansville,#663399,Aces,Evansville Aces,EVAN.png
Fairfield,#181111,Stags,Fairfield Stags,FAIR.png
Fairleigh Dickinson,#004898,Knights,Fairleigh Dickinson Knights,FDU.png
Florida,#2139CE,Gators,Florida Gators,FLA.png
Florida A&M;,#F89728,Rattlers,Florida A&M; Rattlers,FAMU.png
Florida Atlantic,#004B85,Owls,Florida Atlantic Owls,FAU.png
Florida Gulf Coast,#702D07,Eagles,Florida Gulf Coast Eagles,FGC.png
Florida International,#002D62,Golden Panthers,Florida International Golden Panthers,FIU.png
Florida State,#900028,Seminoles,Florida State Seminoles,FSU.png
Fordham,#830032,Rams,Fordham Rams,FOR.png
Fresno State,#00427A,Bulldogs,Fresno State Bulldogs,FRES.png
Furman,#3A1769,Paladins,Furman Paladins,FUR.png
Gardner-Webb,#BF2C37,Runnin' Bulldogs,Gardner-Webb Runnin' Bulldogs,WEBB.png
George Mason,#006539,Patriots,George Mason Patriots,GMU.png
George Washington,#063065,Colonials,George Washington Colonials,GW.png
Georgetown,#49487C,Hoyas,Georgetown Hoyas,GTWN.png
Georgia,#A0000B,Bulldogs,Georgia Bulldogs,UGA.png
Georgia Southern,#003775,Eagles,Georgia Southern Eagles,GASO.png
Georgia State,#005DAA,Panthers,Georgia State Panthers,GSU.png
Georgia Tech,#160A06,Yellow Jackets,Georgia Tech Yellow Jackets,GT.png
Gonzaga,#2D2161,Bulldogs,Gonzaga Bulldogs,GONZ.png
Grambling State,#F88400,Tigers,Grambling State Tigers,GRAM.png
Green Bay,#006F51,Phoenix,Green Bay Phoenix,GB.png
Hampton,#0067AC,Pirates,Hampton Pirates,HAMP.png
Hartford,#ED1B2E,Hawks,Hartford Hawks,HART.png
Harvard,#C41130,Crimson,Harvard Crimson,HARV.png
Hawaii,#004231,Warriors,Hawaii Warriors,HAW.png
High Point,#AAB3B8,Panthers,High Point Panthers,HP.png
Hofstra,#0756A4,Pride,Hofstra Pride,HOF.png
Holy Cross,#090909,Crusaders,Holy Cross Crusaders,HC.png
Houston,#C90822,Cougars,Houston Cougars,HOU.png
Houston Baptist,#702D07,Huskies,Houston Baptist Huskies,HBU.png
Howard,#EE3A43,Bison,Howard Bison,HOW.png
Idaho,#000000,Vandals,Idaho Vandals,IDHO.png
Idaho State,#FF8400,Bengals,Idaho State Bengals,IDST.png
Illinois,#F5873C,Fighting Illini,Illinois Fighting Illini,ILL.png
Illinois State,#E61731,Redbirds,Illinois State Redbirds,ILST.png
Illinois-Chicago,#234077,Flames,Illinois-Chicago Flames,UIC.png
Indiana,#A82B3D,Hoosiers,Indiana Hoosiers,IND.png
Indiana State,#00669A,Sycamores,Indiana State Sycamores,INST.png
Iona,#910126,Gaels,Iona Gaels,IONA.png
Iowa,#000000,Hawkeyes,Iowa Hawkeyes,IOWA.png
Iowa State,#840A2C,Cyclones,Iowa State Cyclones,ISU.png
IPFW,#1B3F95,Mastodons,IPFW Mastodons,IPFW.png
IUPUI,#A81F30,Jaguars,IUPUI Jaguars,IUPU.png
Jackson State,#123297,Tigers,Jackson State Tigers,JKST.png
Jacksonville,#008568,Dolphins,Jacksonville Dolphins,JAC.png
Jacksonville State,#E53F40,Gamecocks,Jacksonville State Gamecocks,JVST.png
James Madison,#263997,Dukes,James Madison Dukes,JMU.png
Kansas,#006AB5,Jayhawks,Kansas Jayhawks,KU.png
Kansas State,#633194,Wildcats,Kansas State Wildcats,KSU.png
Kennesaw State,#231F20,Owls,Kennesaw State Owls,KENN.png
Kent State,#131149,Golden Flashes,Kent State Golden Flashes,KENT.png
Kentucky,#003399,Wildcats,Kentucky Wildcats,UK.png
La Salle,#000F4C,Explorers,La Salle Explorers,LAS.png
Lafayette,#9A0024,Leopards,Lafayette Leopards,LAF.png
Lamar,#231F20,Cardinals,Lamar Cardinals,LAMR.png
Lehigh,#994708,Mountain Hawks,Lehigh Mountain Hawks,LEH.png
Liberty,#02298A,Flames,Liberty Flames,LIB.png
Lipscomb,#122A65,Bisons,Lipscomb Bisons,LIP.png
Long Beach State,#000000,49ers,Long Beach State 49ers,LBSU.png
Long Island,#000000,Blackbirds,Long Island Blackbirds,LIU.png
Longwood,#004990,Lancers,Longwood Lancers,LONG.png
Louisiana Tech,#006AB5,Bulldogs,Louisiana Tech Bulldogs,LT.png
Louisiana-Lafayette,#D73347,Ragin' Cajuns,Louisiana-Lafayette Ragin' Cajuns,ULL.png
Louisiana-Monroe,#231F20,Warhawks,Louisiana-Monroe Warhawks,ULM.png
Louisville,#FD0B20,Cardinals,Louisville Cardinals,LOU.png
Loyola (IL) ,#9E0E43,Ramblers,Loyola (IL) Ramblers,L-IL.png
Loyola (MD),#016540,Greyhounds,Loyola (MD) Greyhounds,L-MD.png
Loyola Marymount,#8C0029,Lions,Loyola Marymount Lions,LMU.png
LSU,#33297B,Tigers,LSU Tigers,LSU.png
Maine,#2E8DC4,Black Bears,Maine Black Bears,ME.png
Manhattan,#528C39,Jaspers,Manhattan Jaspers,MAN.png
Marist,#EF1216,Red Foxes,Marist Red Foxes,MRST.png
Marquette,#002F78,Golden Eagles,Marquette Golden Eagles,MARQ.png
Marshall,#01592F,Thundering Herd,Marshall Thundering Herd,MRSH.png
Maryland,#D5002B,Terrapins,Maryland Terrapins,MD.png
Maryland-Eastern Shore,#98012E,Hawks,Maryland-Eastern Shore Hawks,UMES.png
Massachusetts,#9F011A,Minutemen,Massachusetts Minutemen,MASS.png
McNeese State,#FFD51D,Cowboys,McNeese State Cowboys,MCNS.png
Memphis,#2A2A9B,Tigers,Memphis Tigers,MEM.png
Mercer,#FF7F27,Bears,Mercer Bears,MER.png
Miami (FL),#003E24,Hurricanes,Miami (FL) Hurricanes,MIA.png
Miami (OH),#C60808,RedHawks,Miami (OH) RedHawks,M-OH.png
Michigan,#272341,Wolverines,Michigan Wolverines,MICH.png
Michigan State,#1C453A,Spartans,Michigan State Spartans,MSU.png
Middle Tennessee,#0079C2,Blue Raiders,Middle Tennessee Blue Raiders,MTU.png
Milwaukee,#000000,Panthers,Milwaukee Panthers,MILW.png
Minnesota,#7F011B,Golden Gophers,Minnesota Golden Gophers,MINN.png
Mississippi,#002C91,Rebels,Mississippi Rebels,MISS.png
Mississippi State,#762123,Bulldogs,Mississippi State Bulldogs,MSST.png
Mississippi Valley State,#054105,Delta Devils,Mississippi Valley State Delta Devils,MVSU.png
Missouri,#231F20,Tigers,Missouri Tigers,MIZZ.png
Missouri State,#5F0000,Bears,Missouri State Bears,MORG.png
Monmouth,#051844,Hawks,Monmouth Hawks,MONM.png
Montana,#751D4A,Grizzlies,Montana Grizzlies,MONT.png
Montana State,#003875,Bobcats,Montana State Bobcats,MTST.png
Morehead State,#094FA3,Eagles,Morehead State Eagles,MORE.png
Morgan State,#014786,Bears,Morgan State Bears,MORG.png
Mount St. Mary's,#005596,Mountaineers,Mount St. Mary's Mountaineers,MSM.png
Murray State,#002148,Racers,Murray State Racers,MURR.png
N.J.I.T,#EE3024,Highlanders,N.J.I.T Highlanders,NJIT.png
Navy,#131630,Midshipmen,Navy Midshipmen,NAVY.png
Nebraska,#F20017,Cornhuskers,Nebraska Cornhuskers,NEB.png
Nevada,#153E5F,Wolf Pack,Nevada Wolf Pack,NEV.png
New Hampshire,#004990,Wildcats,New Hampshire Wildcats,UNH.png
New Mexico,#000000,Lobos,New Mexico Lobos,UNM.png
New Mexico State,#891216,Aggies,New Mexico State Aggies,NMSU.png
New Orleans,#2B3986,Privateers,New Orleans Privateers,UNO.png
Niagara,#69207E,Purple Eagles,Niagara Purple Eagles,NIAG.png
Nicholls State,#C41230,Colonels,Nicholls State Colonels,NICH.png
Norfolk State,#046546,Spartans,Norfolk State Spartans,NORF.png
North Carolina,#98BFE5,Tar Heels,North Carolina Tar Heels,UNC.png
North Carolina A&T;,#0505AA,Aggies,North Carolina A&T; Aggies,NCAT.png
North Carolina Central,#880023,Eagles,North Carolina Central Eagles,NCCU.png
North Carolina State,#EF1216,Wolfpack,North Carolina State Wolfpack,NCST.png
North Carolina-Asheville,#156199,Bulldogs,North Carolina-Asheville Bulldogs,UNCA.png
North Carolina-Wilmington,#1D2F68,Seahawks,North Carolina-Wilmington Seahawks,UNCW.png
North Dakota,#702D07,Fighting Sioux,North Dakota Fighting Sioux,UND.png
North Dakota State,#01402A,Bison,North Dakota State Bison,NDSU.png
North Florida,#0A548D,Ospreys,North Florida Ospreys,UNF.png
North Texas,#00853D,Mean Green,North Texas Mean Green,UNT.png
Northeastern,#CC0001,Huskies,Northeastern Huskies,NE.png
Northern Arizona,#003976,Lumberjacks,Northern Arizona Lumberjacks,NAU.png
Northern Colorado,#13558D,Bears,Northern Colorado Bears,UNCO.png
Northern Illinois,#F1122C,Huskies,Northern Illinois Huskies,NIU.png
Northern Iowa,#473282,Panthers,Northern Iowa Panthers,UNI.png
Northwestern,#393996,Wildcats,Northwestern Wildcats,NW.png
Northwestern State,#492F91,Demons,Northwestern State Demons,NWST.png
Notre Dame,#00122B,Fighting Irish,Notre Dame Fighting Irish,ND.png
Oakland,#000000,Golden Grizzlies,Oakland Golden Grizzlies,OAK.png
Ohio,#295A29,Bobcats,Ohio Bobcats,OHIO.png
Ohio State,#DE3121,Buckeyes,Ohio State Buckeyes,OSU.png
