TEAMname,color,Mascot,TEAM
Air Force,#0061AA,Falcons,Air Force Falcons
Akron,#000E41,Zips,Akron Zips
Alabama,#A80532,Crimson Tide,Alabama Crimson Tide
Alabama A&M;,#750000,Bulldogs,Alabama A&M; Bulldogs
Alabama State,#FECB09,Hornets,Alabama State Hornets
Albany,#3D2777,Great Danes,Albany Great Danes
Alcorn State,#42094A,Braves,Alcorn State Braves
American University,#C41130,Eagles,American University Eagles
Appalachian State,#000000,Mountaineers,Appalachian State Mountaineers
Arizona,#003559,Wildcats,Arizona Wildcats
Arizona State,#96203D,Sun Devils,Arizona State Sun Devils
Arkansas,#CD1041,Razorbacks,Arkansas Razorbacks
Arkansas Pine-Bluff,#000000,Golden Lions,Arkansas Pine-Bluff Golden Lions
Arkansas State,#ED1B2E,Red Wolves,Arkansas State Red Wolves
Arkansas-Little Rock,#AD0000,Trojans,Arkansas-Little Rock Trojans
Army,#D19D00,Black Knights,Army Black Knights
Auburn,#172240,Tigers,Auburn Tigers
Austin Peay,#8E0B0B,Governors,Austin Peay Governors
Ball State,#DA0000,Cardinals,Ball State Cardinals
Baylor,#008649,Bears,Baylor Bears
Belmont,#2A3F76,Bruins,Belmont Bruins
Bethune-Cookman,#841B35,Wildcats,Bethune-Cookman Wildcats
Binghamton,#006F53,Bearcats,Binghamton Bearcats
Boise State,#2D4492,Broncos,Boise State Broncos
Boston College,#821E1E,Eagles,Boston College Eagles
Boston University,#DD072E,Terriers,Boston University Terriers
Bowling Green,#4E2400,Falcons,Bowling Green Falcons
Bradley,#FF151A,Braves,Bradley Braves
Brigham Young,#002D62,Cougars,Brigham Young Cougars
Brown,#543019,Bears,Brown Bears
Bryant University,#702D07,Bulldogs,Bryant University Bulldogs
Bucknell,#000064,Bison,Bucknell Bison
Buffalo,#0068B4,Bulls,Buffalo Bulls
Butler,#0D1361,Bulldogs,Butler Bulldogs
Cal Poly,#123C31,Mustangs,Cal Poly Mustangs
Cal State Bakersfield,#005DAB,Roadrunners,Cal State Bakersfield Roadrunners
Cal State Fullerton,#003768,Titans,Cal State Fullerton Titans
Cal State Northridge,#CD1041,Matadors,Cal State Northridge Matadors
California,#003768,Golden Bears,California Golden Bears
Campbell,#000000,Fighting Camels,Campbell Fighting Camels
Canisius,#002859,Golden Griffins,Canisius Golden Griffins
Centenary,#A20B36,Gentlemen,Centenary Gentlemen
Central Arkansas,#4F2683,Bears,Central Arkansas Bears
Central Connecticut State,#1B49A2,Blue Devils,Central Connecticut State Blue Devils
Central Michigan,#780006,Chippewas,Central Michigan Chippewas
Charleston,#B5A172,Cougars,Charleston Cougars
Charleston Southern,#00447C,Buccaneers,Charleston Southern Buccaneers
Charlotte,#006331,49ers,Charlotte 49ers
Chattanooga,#EEB311,Mocs,Chattanooga Mocs
Chicago State,#006700,Cougars,Chicago State Cougars
Cincinnati,#000000,Bearcats,Cincinnati Bearcats
Citadel,#002B5C,Bulldogs,Citadel Bulldogs
Clemson,#F06014,Tigers,Clemson Tigers
Cleveland State,#00573D,Vikings,Cleveland State Vikings
Coastal Carolina,#009297,Chanticleers,Coastal Carolina Chanticleers
Colgate,#8B011D,Raiders,Colgate Raiders
Colorado,#D9C994,Buffaloes,Colorado Buffaloes
Colorado State,#008C75,Rams,Colorado State Rams
Columbia,#7CC2F1,Lions,Columbia Lions
Connecticut,#0A1D5A,Huskies,Connecticut Huskies
Coppin State,#2E3192,Eagles,Coppin State Eagles
Cornell,#D60027,Big Red,Cornell Big Red
Creighton,#192DAA,Bluejays,Creighton Bluejays
Dartmouth,#005730,Big Green,Dartmouth Big Green
Davidson,#000000,Wildcats,Davidson Wildcats
Dayton,#151A66,Flyers,Dayton Flyers
Delaware,#01539B,Fightin Blue Hens,Delaware Fightin Blue Hens
Delaware State,#F11A2D,Hornets,Delaware State Hornets
Denver,#98002E,Pioneers,Denver Pioneers
DePaul,#336698,Blue Demons,DePaul Blue Demons
Detroit,#1C64A4,Titans,Detroit Titans
Drake,#0053A0,Bulldogs,Drake Bulldogs
Drexel,#010160,Dragons,Drexel Dragons
Duke,#004C7D,Blue Devils,Duke Blue Devils
Duquesne,#002D62,Dukes,Duquesne Dukes
